"beam_type","target_material","beam_energy_MeV","R_mm","L_opt_mm","Y_opt","sigma_Y_opt"
"electron","U","50.0","20.0","100.0","0.0177","0.00133"
"electron","U","100.0","20.0","66.67346938775503","0.045035512204881965","0.00209"
"electron","U","200.0","20.0","100.0","0.0831","0.002883"
"electron","W","50.0","20.0","65.88863109048715","0.009704776878732928","0.00097"
"electron","W","100.0","20.0","74.9999999999999","0.024056792717086835","0.001507"
"electron","W","200.0","20.0","100.0","0.0451","0.002124"
"proton","U","100.0","20.0","73.7053270397842","0.7587340193020904","0.00859"
"proton","U","200.0","20.0","100.0","3.4599","0.018601"
"proton","U","400.0","20.0","100.0","12.1655","0.034879"
"proton","U","800.0","20.0","100.0","28.4551","0.053343"
"proton","W","100.0","20.0","67.83132530120483","0.22427807228915667","0.00468"
"proton","W","200.0","20.0","73.08860129417621","1.1217235321262655","0.010378"
"proton","W","400.0","20.0","100.0","4.4924","0.021195"
"proton","W","800.0","20.0","100.0","12.5985","0.035494"
