"beam_type","beam_energy_MeV","target_material","L_mm","R_mm","N_primary","N_neutrons","Y_n_per_primary","sigma_Y"
"electron","100.0","U","100.0","20.0","10000.0","397.0","0.0397","0.001992"
"electron","100.0","U","12.0","20.0","10000.0","234.0","0.0234","0.00153"
"electron","100.0","U","16.0","20.0","10000.0","327.0","0.0327","0.001808"
"electron","100.0","U","2.0","20.0","10000.0","8.0","0.0008","0.000283"
"electron","100.0","U","4.0","20.0","10000.0","38.0","0.0038","0.000616"
"electron","100.0","U","50.0","20.0","10000.0","437.0","0.0437","0.00209"
"electron","100.0","U","8.0","20.0","10000.0","118.0","0.0118","0.001086"
"electron","200.0","U","100.0","20.0","10000.0","831.0","0.0831","0.002883"
"electron","200.0","U","12.0","20.0","10000.0","406.0","0.0406","0.002015"
"electron","200.0","U","16.0","20.0","10000.0","651.0","0.0651","0.002551"
"electron","200.0","U","2.0","20.0","10000.0","10.0","0.001","0.000316"
"electron","200.0","U","4.0","20.0","10000.0","60.0","0.006","0.000775"
"electron","200.0","U","50.0","20.0","10000.0","816.0","0.0816","0.002857"
"electron","200.0","U","8.0","20.0","10000.0","233.0","0.0233","0.001526"
"electron","50.0","U","100.0","20.0","10000.0","177.0","0.0177","0.00133"
"electron","50.0","U","12.0","20.0","10000.0","130.0","0.013","0.00114"
"electron","50.0","U","16.0","20.0","10000.0","160.0","0.016","0.001265"
"electron","50.0","U","2.0","20.0","10000.0","6.0","0.0006","0.000245"
"electron","50.0","U","4.0","20.0","10000.0","21.0","0.0021","0.000458"
"electron","50.0","U","50.0","20.0","10000.0","121.0","0.0121","0.0011"
"electron","50.0","U","8.0","20.0","10000.0","74.0","0.0074","0.00086"
"electron","100.0","W","100.0","20.0","10000.0","227.0","0.0227","0.001507"
"electron","100.0","W","12.0","20.0","10000.0","105.0","0.0105","0.001025"
"electron","100.0","W","16.0","20.0","10000.0","165.0","0.0165","0.001285"
"electron","100.0","W","2.0","20.0","10000.0","1.0","0.0001","0.0001"
"electron","100.0","W","4.0","20.0","10000.0","19.0","0.0019","0.000436"
"electron","100.0","W","50.0","20.0","10000.0","227.0","0.0227","0.001507"
"electron","100.0","W","8.0","20.0","10000.0","64.0","0.0064","0.0008"
"electron","200.0","W","100.0","20.0","10000.0","451.0","0.0451","0.002124"
"electron","200.0","W","12.0","20.0","10000.0","227.0","0.0227","0.001507"
"electron","200.0","W","16.0","20.0","10000.0","316.0","0.0316","0.001778"
"electron","200.0","W","2.0","20.0","10000.0","4.0","0.0004","0.0002"
"electron","200.0","W","4.0","20.0","10000.0","19.0","0.0019","0.000436"
"electron","200.0","W","50.0","20.0","10000.0","426.0","0.0426","0.002064"
"electron","200.0","W","8.0","20.0","10000.0","114.0","0.0114","0.001068"
"electron","50.0","W","100.0","20.0","10000.0","83.0","0.0083","0.000911"
"electron","50.0","W","12.0","20.0","10000.0","51.0","0.0051","0.000714"
"electron","50.0","W","16.0","20.0","10000.0","67.0","0.0067","0.000819"
"electron","50.0","W","2.0","20.0","10000.0","1.0","0.0001","0.0001"
"electron","50.0","W","4.0","20.0","10000.0","8.0","0.0008","0.000283"
"electron","50.0","W","50.0","20.0","10000.0","94.0","0.0094","0.00097"
"electron","50.0","W","8.0","20.0","10000.0","36.0","0.0036","0.0006"
"proton","100.0","U","100.0","20.0","10000.0","7331.0","0.7331","0.008562"
"proton","100.0","U","10.0","20.0","10000.0","5052.0","0.5052","0.007108"
"proton","100.0","U","15.0","20.0","10000.0","5807.0","0.5807","0.00762"
"proton","100.0","U","20.0","20.0","10000.0","6518.0","0.6518","0.008073"
"proton","100.0","U","2.0","20.0","10000.0","369.0","0.0369","0.001921"
"proton","100.0","U","50.0","20.0","10000.0","7379.0","0.7379","0.00859"
"proton","100.0","U","5.0","20.0","10000.0","2581.0","0.2581","0.00508"
"proton","200.0","U","100.0","20.0","10000.0","34599.0","3.4599","0.018601"
"proton","200.0","U","10.0","20.0","10000.0","12510.0","1.251","0.011185"
"proton","200.0","U","15.0","20.0","10000.0","23279.0","2.3279","0.015257"
"proton","200.0","U","20.0","20.0","10000.0","27975.0","2.7975","0.016726"
"proton","200.0","U","2.0","20.0","10000.0","465.0","0.0465","0.002156"
"proton","200.0","U","50.0","20.0","10000.0","34462.0","3.4462","0.018564"
"proton","200.0","U","5.0","20.0","10000.0","3185.0","0.3185","0.005644"
"proton","400.0","U","100.0","20.0","10000.0","121655.0","12.1655","0.034879"
"proton","400.0","U","10.0","20.0","10000.0","15462.0","1.5462","0.012435"
"proton","400.0","U","15.0","20.0","10000.0","30566.0","3.0566","0.017483"
"proton","400.0","U","20.0","20.0","10000.0","44643.0","4.4643","0.021129"
"proton","400.0","U","2.0","20.0","10000.0","532.0","0.0532","0.002307"
"proton","400.0","U","50.0","20.0","10000.0","114161.0","11.4161","0.033788"
"proton","400.0","U","5.0","20.0","10000.0","3928.0","0.3928","0.006267"
"proton","800.0","U","100.0","20.0","10000.0","284551.0","28.4551","0.053343"
"proton","800.0","U","10.0","20.0","10000.0","22590.0","2.259","0.01503"
"proton","800.0","U","15.0","20.0","10000.0","46052.0","4.6052","0.02146"
"proton","800.0","U","20.0","20.0","10000.0","70150.0","7.015","0.026486"
"proton","800.0","U","2.0","20.0","10000.0","620.0","0.062","0.00249"
"proton","800.0","U","50.0","20.0","10000.0","193793.0","19.3793","0.044022"
"proton","800.0","U","5.0","20.0","10000.0","5651.0","0.5651","0.007517"
"proton","100.0","W","100.0","20.0","10000.0","2071.0","0.2071","0.004551"
"proton","100.0","W","10.0","20.0","10000.0","1373.0","0.1373","0.003705"
"proton","100.0","W","15.0","20.0","10000.0","1799.0","0.1799","0.004241"
"proton","100.0","W","20.0","20.0","10000.0","1863.0","0.1863","0.004316"
"proton","100.0","W","2.0","20.0","10000.0","157.0","0.0157","0.001253"
"proton","100.0","W","50.0","20.0","10000.0","2190.0","0.219","0.00468"
"proton","100.0","W","5.0","20.0","10000.0","638.0","0.0638","0.002526"
"proton","200.0","W","100.0","20.0","10000.0","10611.0","1.0611","0.010301"
"proton","200.0","W","10.0","20.0","10000.0","4570.0","0.457","0.00676"
"proton","200.0","W","15.0","20.0","10000.0","7436.0","0.7436","0.008623"
"proton","200.0","W","20.0","20.0","10000.0","8858.0","0.8858","0.009412"
"proton","200.0","W","2.0","20.0","10000.0","181.0","0.0181","0.001345"
"proton","200.0","W","50.0","20.0","10000.0","10771.0","1.0771","0.010378"
"proton","200.0","W","5.0","20.0","10000.0","1399.0","0.1399","0.00374"
"proton","400.0","W","100.0","20.0","10000.0","44924.0","4.4924","0.021195"
"proton","400.0","W","10.0","20.0","10000.0","6545.0","0.6545","0.00809"
"proton","400.0","W","15.0","20.0","10000.0","12753.0","1.2753","0.011293"
"proton","400.0","W","20.0","20.0","10000.0","19506.0","1.9506","0.013966"
"proton","400.0","W","2.0","20.0","10000.0","242.0","0.0242","0.001556"
"proton","400.0","W","50.0","20.0","10000.0","42634.0","4.2634","0.020648"
"proton","400.0","W","5.0","20.0","10000.0","1779.0","0.1779","0.004218"
"proton","800.0","W","100.0","20.0","10000.0","125985.0","12.5985","0.035494"
"proton","800.0","W","10.0","20.0","10000.0","11471.0","1.1471","0.01071"
"proton","800.0","W","15.0","20.0","10000.0","22955.0","2.2955","0.015151"
"proton","800.0","W","20.0","20.0","10000.0","35267.0","3.5267","0.01878"
"proton","800.0","W","2.0","20.0","10000.0","413.0","0.0413","0.002032"
"proton","800.0","W","50.0","20.0","10000.0","91225.0","9.1225","0.030203"
"proton","800.0","W","5.0","20.0","10000.0","2897.0","0.2897","0.005382"
